Indicator,Group,State,lat,long,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,43.326618,-84.536095,Michigan,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,39.6,36.2,43.1,36.2 - 43.1,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,45.694454,-93.900192,Minnesota,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,41.6,37.8,45.6,37.8 - 45.6,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,32.741646,-89.678696,Mississippi,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33,28.8,37.5,28.8 - 37.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,38.456085,-92.288368,Missouri,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.5,33.9,43.3,33.9 - 43.3,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Montana,46.921925,-110.454353,Montana,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.2,35,45.6,35.0 - 45.6,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,41.12537,-98.268082,Nebraska,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35.9,31.2,40.9,31.2 - 40.9,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,38.313515,-117.055374,Nevada,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,41.5,37.1,46.1,37.1 - 46.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,43.452492,-71.563896,New Hampshire,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,37.8,34.6,41.2,34.6 - 41.2,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,40.298904,-74.521011,New Jersey,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,37.9,33.5,42.5,33.5 - 42.5,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,34.840515,-106.248482,New Mexico,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.2,35.1,45.5,35.1 - 45.5,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,New York,42.165726,-74.948051,New York,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.6,36.8,44.5,36.8 - 44.5,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,35.630066,-79.806419,North Carolina,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.6,31.1,38.2,31.1 - 38.2,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,47.528912,-99.784012,North Dakota,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,30.4,26.1,35,26.1 - 35.0,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,40.388783,-82.764915,Ohio,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,37.9,33.8,42,33.8 - 42.0,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,35.565342,-96.928917,Oklahoma,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,39.8,34.6,45.1,34.6 - 45.1,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,44.572021,-122.070938,Oregon,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,42,38.1,46.1,38.1 - 46.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,40.590752,-77.209755,Pennsylvania,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.2,34.8,41.7,34.8 - 41.7,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,41.680893,-71.51178,Rhode Island,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,39.3,34.5,44.2,34.5 - 44.2,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,33.856892,-80.945007,South Carolina,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.6,33.3,44.1,33.3 - 44.1,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,44.299782,-99.438828,South Dakota,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.6,34.7,46.8,34.7 - 46.8,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,35.747845,-86.692345,Tennessee,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.7,34.9,42.5,34.9 - 42.5,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Texas,31.054487,-97.563461,Texas,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.5,31,38.2,31.0 - 38.2,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Utah,40.150032,-111.862434,Utah,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.4,36.4,44.5,36.4 - 44.5,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,44.045876,-72.710686,Vermont,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,44.1,39.5,48.9,39.5 - 48.9,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,37.769337,-78.169968,Virginia,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,42.5,38.8,46.3,38.8 - 46.3,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Washington,47.400902,-121.490494,Washington,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,43.1,40.1,46.1,40.1 - 46.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,38.491226,-80.954453,West Virginia,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.9,33.8,44.1,33.8 - 44.1,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,44.268543,-89.616508,Wisconsin,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.7,35,42.4,35.0 - 42.4,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,42.755966,-107.30249,Wyoming,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33,28.7,37.5,28.7 - 37.5,30.4 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",National Estimate,United States,,,United States,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.7,31,32.3,31.0 - 32.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,18 - 29 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,28.9,26.6,31.2,26.6 - 31.2,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,30 - 39 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.8,28.3,31.4,28.3 - 31.4,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,40 - 49 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.1,32.6,35.6,32.6 - 35.6,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,50 - 59 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.4,32.9,35.9,32.9 - 35.9,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,60 - 69 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33.5,31.9,35.2,31.9 - 35.2,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,70 - 79 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.5,27.8,31.3,27.8 - 31.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,80 years and above,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,24.6,20.1,29.5,20.1 - 29.5,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,,,Male,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,28.5,27.5,29.5,27.5 - 29.5,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,,,Female,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.7,33.8,35.6,33.8 - 35.6,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,Hispanic or Latino,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.3,28.9,33.8,28.9 - 33.8,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic White, single race",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.5,30.8,32.2,30.8 - 32.2,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Black, single race",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33.4,31,35.8,31.0 - 35.8,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,26.3,23.8,29,23.8 - 29.0,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.6,35.2,42.1,35.2 - 42.1,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Less than a high school diploma,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,30.8,26.7,35.1,26.7 - 35.1,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,High school diploma or GED,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.2,27.9,30.6,27.9 - 30.6,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Some college/Associate's degree,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.1,33,35.3,33.0 - 35.3,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Bachelor's degree or higher,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32,31.2,32.8,31.2 - 32.8,
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,32.806671,-86.79113,Alabama,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33.5,28,39.4,28.0 - 39.4,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,61.370716,-152.404419,Alaska,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33,29.5,36.5,29.5 - 36.5,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,33.729759,-111.431221,Arizona,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.1,27.7,34.7,27.7 - 34.7,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,34.969704,-92.373123,Arkansas,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.4,24.6,34.6,24.6 - 34.6,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,California,36.116203,-119.681564,California,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.3,28.4,34.3,28.4 - 34.3,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,39.059811,-105.311104,Colorado,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.5,28.2,35,28.2 - 35.0,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,41.597782,-72.755371,Connecticut,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.1,26.9,35.6,26.9 - 35.6,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,39.318523,-75.507141,Delaware,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.7,25.2,34.6,25.2 - 34.6,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,38.897438,-77.026817,District of Columbia,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32,26.5,38,26.5 - 38.0,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,27.766279,-81.686783,Florida,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,30.9,28.1,33.9,28.1 - 33.9,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,33.040619,-83.643074,Georgia,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.7,30.7,38.8,30.7 - 38.8,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,21.094318,-157.498337,Hawaii,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.4,24.3,35,24.3 - 35.0,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,44.240459,-114.478828,Idaho,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.5,25.7,33.6,25.7 - 33.6,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,40.349457,-88.986137,Illinois,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.1,27.5,34.7,27.5 - 34.7,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,39.849426,-86.258278,Indiana,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.9,26.1,34,26.1 - 34.0,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,42.011539,-93.210526,Iowa,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,28.6,23.2,34.4,23.2 - 34.4,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,38.5266,-96.726486,Kansas,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,28.1,24.2,32.2,24.2 - 32.2,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,37.66814,-84.670067,Kentucky,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.4,28.1,36.9,28.1 - 36.9,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,31.169546,-91.867805,Louisiana,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,36.3,30.8,42.1,30.8 - 42.1,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,44.693947,-69.381927,Maine,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.5,27.8,35.3,27.8 - 35.3,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,39.063946,-76.802101,Maryland,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,36.4,32.8,40.2,32.8 - 40.2,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,42.230171,-71.530106,Massachusetts,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.8,26.5,33.4,26.5 - 33.4,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,43.326618,-84.536095,Michigan,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.8,28.8,35,28.8 - 35.0,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,45.694454,-93.900192,Minnesota,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.7,28,35.6,28.0 - 35.6,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,32.741646,-89.678696,Mississippi,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.3,26.9,35.9,26.9 - 35.9,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,38.456085,-92.288368,Missouri,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.5,28.6,36.6,28.6 - 36.6,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,46.921925,-110.454353,Montana,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35.9,30,42.1,30.0 - 42.1,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,41.12537,-98.268082,Nebraska,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,24,20.6,27.5,20.6 - 27.5,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,38.313515,-117.055374,Nevada,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33.3,28.7,38.2,28.7 - 38.2,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,43.452492,-71.563896,New Hampshire,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.5,28.8,36.4,28.8 - 36.4,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,40.298904,-74.521011,New Jersey,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.1,28.4,35.9,28.4 - 35.9,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,34.840515,-106.248482,New Mexico,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.7,27.4,38.4,27.4 - 38.4,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,42.165726,-74.948051,New York,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,30.8,27.4,34.5,27.4 - 34.5,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,35.630066,-79.806419,North Carolina,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,28.9,25.4,32.6,25.4 - 32.6,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,47.528912,-99.784012,North Dakota,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,20.6,16.7,24.8,16.7 - 24.8,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,40.388783,-82.764915,Ohio,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,27.7,24.7,31,24.7 - 31.0,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,35.565342,-96.928917,Oklahoma,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,36.2,30.9,41.8,30.9 - 41.8,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,44.572021,-122.070938,Oregon,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.3,30.8,38,30.8 - 38.0,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,40.590752,-77.209755,Pennsylvania,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,29.9,26.8,33.2,26.8 - 33.2,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,41.680893,-71.51178,Rhode Island,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,30.5,25.4,36,25.4 - 36.0,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,33.856892,-80.945007,South Carolina,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35,29.6,40.6,29.6 - 40.6,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,44.299782,-99.438828,South Dakota,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.3,26.7,38.3,26.7 - 38.3,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,35.747845,-86.692345,Tennessee,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.5,28.4,36.8,28.4 - 36.8,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,31.054487,-97.563461,Texas,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,32.4,29,35.8,29.0 - 35.8,31.8 - 33.1
